Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out with Global Variable,Chrome 108.0.0.0,,,2022-12-09 10:37:21,2022-12-09 10:40:00,2m - 39.081s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 108.0.0.0,,,2022-12-09 10:37:21,2022-12-09 10:38:33,1m - 12.119s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 108.0.0.0,,,2022-12-09 10:37:22,2022-12-09 10:37:39,16.213s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 108.0.0.0,,,2022-12-09 10:37:39,2022-12-09 10:37:39,0.498s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 108.0.0.0,,,2022-12-09 10:37:39,2022-12-09 10:37:42,3.167s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 108.0.0.0,,,2022-12-09 10:37:42,2022-12-09 10:37:53,10.981s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 108.0.0.0,,,2022-12-09 10:37:53,2022-12-09 10:38:27,33.620s,PASSED
sample.Login.logoutFromApplication(),Chrome 108.0.0.0,,,2022-12-09 10:38:27,2022-12-09 10:38:33,5.787s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-09 10:38:33,2022-12-09 10:38:33,0.709s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product using coupon,Chrome 108.0.0.0,,,2022-12-09 10:38:33,2022-12-09 10:40:00,1m - 26.505s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 108.0.0.0,,,2022-12-09 10:38:34,2022-12-09 10:38:45,11.455s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 108.0.0.0,,,2022-12-09 10:38:45,2022-12-09 10:38:46,0.344s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 108.0.0.0,,,2022-12-09 10:38:46,2022-12-09 10:38:49,3.397s,PASSED
sample.Shop.applyCouponAndAddToCartWithGlobalVariable(),Chrome 108.0.0.0,,,2022-12-09 10:38:49,2022-12-09 10:39:09,20.144s,PASSED
sample.Checkout.CheckoutShopWithGlobalVariable(),Chrome 108.0.0.0,,,2022-12-09 10:39:09,2022-12-09 10:39:54,44.618s,PASSED
sample.Login.logoutFromApplication(),Chrome 108.0.0.0,,,2022-12-09 10:39:54,2022-12-09 10:39:59,5.499s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-09 10:39:59,2022-12-09 10:40:00,0.686s,PASSED
