Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out with Global Variable,Chrome 109.0.0.0,,,2023-01-19 13:40:03,2023-01-19 13:42:38,2m - 35.188s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 109.0.0.0,,,2023-01-19 13:40:03,2023-01-19 13:41:18,1m - 14.869s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 109.0.0.0,,,2023-01-19 13:40:04,2023-01-19 13:40:23,18.878s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 109.0.0.0,,,2023-01-19 13:40:23,2023-01-19 13:40:24,0.318s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 109.0.0.0,,,2023-01-19 13:40:24,2023-01-19 13:40:27,3.078s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 109.0.0.0,,,2023-01-19 13:40:27,2023-01-19 13:40:37,10.309s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 109.0.0.0,,,2023-01-19 13:40:37,2023-01-19 13:41:11,34.142s,PASSED
sample.Login.logoutFromApplication(),Chrome 109.0.0.0,,,2023-01-19 13:41:11,2023-01-19 13:41:18,6.347s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-19 13:41:18,2023-01-19 13:41:18,0.755s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product using coupon,Chrome 109.0.0.0,,,2023-01-19 13:41:18,2023-01-19 13:42:38,1m - 19.874s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 109.0.0.0,,,2023-01-19 13:41:19,2023-01-19 13:41:30,11.423s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 109.0.0.0,,,2023-01-19 13:41:30,2023-01-19 13:41:30,0.312s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 109.0.0.0,,,2023-01-19 13:41:30,2023-01-19 13:41:33,2.877s,PASSED
sample.Shop.applyCouponAndAddToCartWithGlobalVariable(),Chrome 109.0.0.0,,,2023-01-19 13:41:33,2023-01-19 13:41:49,16.272s,PASSED
sample.Checkout.CheckoutShopWithGlobalVariable(),Chrome 109.0.0.0,,,2023-01-19 13:41:49,2023-01-19 13:42:32,42.355s,PASSED
sample.Login.logoutFromApplication(),Chrome 109.0.0.0,,,2023-01-19 13:42:32,2023-01-19 13:42:37,5.723s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-19 13:42:37,2023-01-19 13:42:38,0.694s,PASSED
